product_id,product_name,brand,price_current,price_original,discount_percentage,rating,review_count,availability,image_url,product_url,platform,scraped_at,description,category
BB014,Daawat Sona Masuri Rice,Daawat,179.03,243.51,26.48,4.8,1003,True,https://www.bigbasket.com/media/uploads/p/l/rice_14.jpg,https://www.bigbasket.com/pd/BB014/,BigBasket,2025-07-18T08:36:27.927786,High quality sona masuri rice from Daawat,Rice & Rice Products
BB015,Lal Qilla Brown Rice,Lal Qilla,364.83,598.11,39.0,4.3,1312,True,https://www.bigbasket.com/media/uploads/p/l/rice_15.jpg,https://www.bigbasket.com/pd/BB015/,BigBasket,2025-07-18T08:36:28.029197,High quality brown rice from Lal Qilla,Rice & Rice Products
BB016,Tilda Ponni Rice,Tilda,240.41,528.51,54.51,4.2,1178,True,https://www.bigbasket.com/media/uploads/p/l/rice_16.jpg,https://www.bigbasket.com/pd/BB016/,BigBasket,2025-07-18T08:36:28.130363,High quality ponni rice from Tilda,Rice & Rice Products
BB017,Fortune Sona Masuri Rice,Fortune,390.67,431.66,9.5,4.3,199,True,https://www.bigbasket.com/media/uploads/p/l/rice_17.jpg,https://www.bigbasket.com/pd/BB017/,BigBasket,2025-07-18T08:36:28.232129,High quality sona masuri rice from Fortune,Rice & Rice Products
BB018,Fortune Basmati Rice,Fortune,384.98,592.87,35.07,3.9,481,True,https://www.bigbasket.com/media/uploads/p/l/rice_18.jpg,https://www.bigbasket.com/pd/BB018/,BigBasket,2025-07-18T08:36:28.334777,High quality basmati rice from Fortune,Rice & Rice Products
BB019,Fortune Sona Masuri Rice,Fortune,276.41,385.84,28.36,3.5,737,True,https://www.bigbasket.com/media/uploads/p/l/rice_19.jpg,https://www.bigbasket.com/pd/BB019/,BigBasket,2025-07-18T08:36:28.442819,High quality sona masuri rice from Fortune,Rice & Rice Products
BB020,Lal Qilla Brown Rice,Lal Qilla,168.96,560.04,69.83,4.6,209,True,https://www.bigbasket.com/media/uploads/p/l/rice_20.jpg,https://www.bigbasket.com/pd/BB020/,BigBasket,2025-07-18T08:36:28.543636,High quality brown rice from Lal Qilla,Rice & Rice Products
BB021,Lal Qilla Jasmine Rice,Lal Qilla,307.15,546.45,43.79,3.6,714,True,https://www.bigbasket.com/media/uploads/p/l/rice_21.jpg,https://www.bigbasket.com/pd/BB021/,BigBasket,2025-07-18T08:36:28.645028,High quality jasmine rice from Lal Qilla,Rice & Rice Products
BB022,Lal Qilla Basmati Rice,Lal Qilla,204.24,399.4,48.86,4.4,1698,True,https://www.bigbasket.com/media/uploads/p/l/rice_22.jpg,https://www.bigbasket.com/pd/BB022/,BigBasket,2025-07-18T08:36:28.746301,High quality basmati rice from Lal Qilla,Rice & Rice Products
BB023,Lal Qilla White Rice,Lal Qilla,307.06,381.07,19.42,3.9,230,True,https://www.bigbasket.com/media/uploads/p/l/rice_23.jpg,https://www.bigbasket.com/pd/BB023/,BigBasket,2025-07-18T08:36:28.847493,High quality white rice from Lal Qilla,Rice & Rice Products
BB024,Tilda Basmati Rice,Tilda,189.37,380.81,50.27,4.8,404,True,https://www.bigbasket.com/media/uploads/p/l/rice_24.jpg,https://www.bigbasket.com/pd/BB024/,BigBasket,2025-07-18T08:36:28.949240,High quality basmati rice from Tilda,Rice & Rice Products
BB025,Fortune Basmati Rice,Fortune,283.27,398.72,28.96,3.7,1618,True,https://www.bigbasket.com/media/uploads/p/l/rice_25.jpg,https://www.bigbasket.com/pd/BB025/,BigBasket,2025-07-18T08:36:29.050547,High quality basmati rice from Fortune,Rice & Rice Products
BB026,Lal Qilla Ponni Rice,Lal Qilla,401.54,434.04,7.49,4.0,1536,True,https://www.bigbasket.com/media/uploads/p/l/rice_26.jpg,https://www.bigbasket.com/pd/BB026/,BigBasket,2025-07-18T08:36:29.152220,High quality ponni rice from Lal Qilla,Rice & Rice Products
BB027,Daawat Jasmine Rice,Daawat,266.98,478.88,44.25,4.6,955,True,https://www.bigbasket.com/media/uploads/p/l/rice_27.jpg,https://www.bigbasket.com/pd/BB027/,BigBasket,2025-07-18T08:36:29.253575,High quality jasmine rice from Daawat,Rice & Rice Products
BB028,Tilda White Rice,Tilda,422.64,458.68815900480496,7.86,4.6,1332,True,https://www.bigbasket.com/media/uploads/p/l/rice_28.jpg,https://www.bigbasket.com/pd/BB028/,BigBasket,2025-07-18T08:36:29.355044,High quality white rice from Tilda,Rice & Rice Products
BB029,Lal Qilla Brown Rice,Lal Qilla,444.15,479.43894585101265,7.36,4.1,1865,True,https://www.bigbasket.com/media/uploads/p/l/rice_29.jpg,https://www.bigbasket.com/pd/BB029/,BigBasket,2025-07-18T08:36:29.456703,High quality brown rice from Lal Qilla,Rice & Rice Products
BB030,India Gate Sona Masuri Rice,India Gate,386.72,425.77,9.17,4.0,1229,True,https://www.bigbasket.com/media/uploads/p/l/rice_30.jpg,https://www.bigbasket.com/pd/BB030/,BigBasket,2025-07-18T08:36:29.558109,High quality sona masuri rice from India Gate,Rice & Rice Products
BB031,Aashirvaad Ponni Rice,Aashirvaad,461.2,507.5790658398863,9.14,4.4,1327,True,https://www.bigbasket.com/media/uploads/p/l/rice_31.jpg,https://www.bigbasket.com/pd/BB031/,BigBasket,2025-07-18T08:36:29.659402,High quality ponni rice from Aashirvaad,Rice & Rice Products
BB032,Daawat Basmati Rice,Daawat,265.34,398.33,33.39,4.3,554,True,https://www.bigbasket.com/media/uploads/p/l/rice_32.jpg,https://www.bigbasket.com/pd/BB032/,BigBasket,2025-07-18T08:36:29.760892,High quality basmati rice from Daawat,Rice & Rice Products
BB033,Kohinoor Sona Masuri Rice,Kohinoor,463.46,504.5906716780783,8.15,4.7,1188,True,https://www.bigbasket.com/media/uploads/p/l/rice_33.jpg,https://www.bigbasket.com/pd/BB033/,BigBasket,2025-07-18T08:36:29.862281,High quality sona masuri rice from Kohinoor,Rice & Rice Products
BB034,Lal Qilla White Rice,Lal Qilla,278.95,421.24,33.78,4.4,1068,True,https://www.bigbasket.com/media/uploads/p/l/rice_34.jpg,https://www.bigbasket.com/pd/BB034/,BigBasket,2025-07-18T08:36:29.963392,High quality white rice from Lal Qilla,Rice & Rice Products
BB035,Daawat Basmati Rice,Daawat,300.2,343.9546390363349,12.72,3.7,1399,True,https://www.bigbasket.com/media/uploads/p/l/rice_35.jpg,https://www.bigbasket.com/pd/BB035/,BigBasket,2025-07-18T08:36:30.064656,High quality basmati rice from Daawat,Rice & Rice Products
BB036,Kohinoor Jasmine Rice,Kohinoor,151.16,297.6,49.21,3.8,1803,True,https://www.bigbasket.com/media/uploads/p/l/rice_36.jpg,https://www.bigbasket.com/pd/BB036/,BigBasket,2025-07-18T08:36:30.166124,High quality jasmine rice from Kohinoor,Rice & Rice Products
BB037,Aashirvaad Brown Rice,Aashirvaad,221.86,377.41,41.22,3.8,1431,True,https://www.bigbasket.com/media/uploads/p/l/rice_37.jpg,https://www.bigbasket.com/pd/BB037/,BigBasket,2025-07-18T08:36:30.267478,High quality brown rice from Aashirvaad,Rice & Rice Products
BB038,Aashirvaad Sona Masuri Rice,Aashirvaad,358.37,568.6,36.97,4.7,292,True,https://www.bigbasket.com/media/uploads/p/l/rice_38.jpg,https://www.bigbasket.com/pd/BB038/,BigBasket,2025-07-18T08:36:30.369009,High quality sona masuri rice from Aashirvaad,Rice & Rice Products
BB039,Fortune Sona Masuri Rice,Fortune,241.83,536.86,54.95,4.6,646,True,https://www.bigbasket.com/media/uploads/p/l/rice_39.jpg,https://www.bigbasket.com/pd/BB039/,BigBasket,2025-07-18T08:36:30.470219,High quality sona masuri rice from Fortune,Rice & Rice Products
BB040,India Gate Ponni Rice,India Gate,276.38,372.38,25.78,4.3,515,True,https://www.bigbasket.com/media/uploads/p/l/rice_40.jpg,https://www.bigbasket.com/pd/BB040/,BigBasket,2025-07-18T08:36:30.571323,High quality ponni rice from India Gate,Rice & Rice Products
BB041,Aashirvaad Brown Rice,Aashirvaad,395.56,420.23681497949156,5.87,4.5,1691,True,https://www.bigbasket.com/media/uploads/p/l/rice_41.jpg,https://www.bigbasket.com/pd/BB041/,BigBasket,2025-07-18T08:36:30.672226,High quality brown rice from Aashirvaad,Rice & Rice Products
BB042,Fortune Jasmine Rice,Fortune,248.37,596.63,58.37,3.7,569,True,https://www.bigbasket.com/media/uploads/p/l/rice_42.jpg,https://www.bigbasket.com/pd/BB042/,BigBasket,2025-07-18T08:36:30.773209,High quality jasmine rice from Fortune,Rice & Rice Products
BB043,Kohinoor Brown Rice,Kohinoor,170.79,306.78,44.33,3.9,716,True,https://www.bigbasket.com/media/uploads/p/l/rice_43.jpg,https://www.bigbasket.com/pd/BB043/,BigBasket,2025-07-18T08:36:30.874646,High quality brown rice from Kohinoor,Rice & Rice Products
BB044,Lal Qilla Basmati Rice,Lal Qilla,216.53,242.28935732138078,10.63,3.8,1571,True,https://www.bigbasket.com/media/uploads/p/l/rice_44.jpg,https://www.bigbasket.com/pd/BB044/,BigBasket,2025-07-18T08:36:30.976888,High quality basmati rice from Lal Qilla,Rice & Rice Products
BB045,India Gate White Rice,India Gate,268.33,342.63,21.69,4.1,198,True,https://www.bigbasket.com/media/uploads/p/l/rice_45.jpg,https://www.bigbasket.com/pd/BB045/,BigBasket,2025-07-18T08:36:31.078426,High quality white rice from India Gate,Rice & Rice Products
BB046,Lal Qilla White Rice,Lal Qilla,305.75,467.07,34.54,3.5,1523,True,https://www.bigbasket.com/media/uploads/p/l/rice_46.jpg,https://www.bigbasket.com/pd/BB046/,BigBasket,2025-07-18T08:36:31.179980,High quality white rice from Lal Qilla,Rice & Rice Products
BB047,Tilda Brown Rice,Tilda,403.07,466.34,13.57,3.8,1036,True,https://www.bigbasket.com/media/uploads/p/l/rice_47.jpg,https://www.bigbasket.com/pd/BB047/,BigBasket,2025-07-18T08:36:31.281259,High quality brown rice from Tilda,Rice & Rice Products
BB048,Daawat Sona Masuri Rice,Daawat,472.24,499.1039785568184,5.38,4.2,1520,True,https://www.bigbasket.com/media/uploads/p/l/rice_48.jpg,https://www.bigbasket.com/pd/BB048/,BigBasket,2025-07-18T08:36:31.383645,High quality sona masuri rice from Daawat,Rice & Rice Products
BB049,Tilda Jasmine Rice,Tilda,257.26,426.85,39.73,4.4,389,True,https://www.bigbasket.com/media/uploads/p/l/rice_49.jpg,https://www.bigbasket.com/pd/BB049/,BigBasket,2025-07-18T08:36:31.485165,High quality jasmine rice from Tilda,Rice & Rice Products
BB050,Kohinoor Sona Masuri Rice,Kohinoor,239.92,261.7018339914496,8.32,3.9,589,True,https://www.bigbasket.com/media/uploads/p/l/rice_50.jpg,https://www.bigbasket.com/pd/BB050/,BigBasket,2025-07-18T08:36:31.586080,High quality sona masuri rice from Kohinoor,Rice & Rice Products
